<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	21:30:00	2658.165	2658.383	2656.550	2657.980	650	0	160
2025.01.02	21:45:00	2657.979	2658.531	2656.983	2657.442	573	0	159
2025.01.02	23:00:00	2657.396	2658.202	2657.322	2658.106	579	0	159
2025.01.02	23:15:00	2658.074	2658.973	2657.953	2658.721	486	0	160
2025.01.02	23:30:00	2658.757	2659.539	2658.392	2659.160	508	0	160
2025.01.02	23:45:00	2659.161	2659.411	2657.832	2658.328	1001	0	159
2025.01.03	00:00:00	2658.371	2661.162	2658.368	2660.707	784	0	160
2025.01.03	00:15:00	2660.674	2661.120	2659.326	2659.760	857	0	159
2025.01.03	00:30:00	2659.804	2660.318	2658.686	2659.049	863	0	160
2025.01.03	00:45:00	2659.053	2660.966	2658.796	2660.717	878	0	160
2025.01.03	01:00:00	2660.745	2662.583	2659.256	2660.817	2094	0	159
2025.01.03	01:15:00	2660.780	2661.369	2658.173	2658.802	1333	0	159
2025.01.03	01:30:00	2658.859	2659.215	2656.708	2657.075	1206	0	160
2025.01.03	01:45:00	2657.033	2660.101	2656.972	2659.414	1217	0	160
2025.01.03	02:00:00	2659.425	2660.367	2656.109	2659.258	2263	0	160
2025.01.03	02:15:00	2659.257	2664.049	2658.634	2659.320	1879	0	160
2025.01.03	02:30:00	2659.283	2662.026	2658.890	2661.470	1804	0	160
2025.01.03	02:45:00	2661.421	2663.096	2659.878	2662.413	1830	0	159
2025.01.03	03:00:00	2662.443	2664.563	2661.238	2663.034	1739	0	160
2025.01.03	03:15:00	2663.046	2665.214	2662.936	2663.487	1722	0	159
2025.01.03	03:30:00	2663.482	2663.653	2661.891	2662.442	1043	0	160
2025.01.03	03:45:00	2662.430	2663.456	2662.121	2662.288	902	0	160
2025.01.03	04:00:00	2662.255	2662.944	2661.680	2662.737	881	0	160
2025.01.03	04:15:00	2662.741	2664.409	2662.552	2663.977	723	0	160
2025.01.03	04:30:00	2664.001	2664.205	2662.005	2662.352	729	0	159
2025.01.03	04:45:00	2662.315	2663.135	2661.831	2662.839	744	0	160
2025.01.03	05:00:00	2662.869	2662.915	2661.122	2661.512	899	0	159
2025.01.03	05:15:00	2661.513	2661.521	2659.970	2660.607	876	0	160
2025.01.03	05:30:00	2660.608	2660.608	2658.702	2659.085	1255	0	159
2025.01.03	05:45:00	2659.047	2659.190	2655.909	2658.550	1735	0	160
2025.01.03	06:00:00	2658.542	2660.156	2657.636	2658.518	1245	0	159
2025.01.03	06:15:00	2658.564	2659.658	2657.259	2657.419	1235	0	159
2025.01.03	06:30:00	2657.371	2659.404	2656.707	2659.302	1230	0	160
2025.01.03	06:45:00	2659.312	2660.247	2658.808	2659.610	1324	0	159
2025.01.03	07:00:00	2659.518	2659.550	2655.606	2656.175	1282	0	159
2025.01.03	07:15:00	2656.171	2656.441	2651.924	2652.802	1869	0	159
2025.01.03	07:30:00	2652.790	2654.952	2652.530	2654.768	1576	0	160
2025.01.03	07:45:00	2654.755	2656.083	2652.892	2654.164	1690	0	159
2025.01.03	08:00:00	2654.122	2655.773	2652.026	2653.798	2158	0	159
2025.01.03	08:15:00	2653.816	2654.840	2651.949	2652.611	1598	0	159
2025.01.03	08:30:00	2652.605	2653.647	2651.157	2652.866	1549	0	159
2025.01.03	08:45:00	2652.891	2653.565	2649.890	2652.951	1692	0	159
2025.01.03	09:00:00	2652.975	2655.648	2652.820	2654.507	1825	0	159
2025.01.03	09:15:00	2654.471	2656.006	2653.143	2653.972	1406	0	160
2025.01.03	09:30:00	2653.967	2655.867	2653.881	2654.095	1141	0	159
2025.01.03	09:45:00	2654.073	2654.641	2652.922	2653.590	1069	0	160
2025.01.03	10:00:00	2653.609	2656.863	2653.345	2656.749	1165	0	160
2025.01.03	10:15:00	2656.679	2657.501	2655.536	2656.218	1139	0	159
2025.01.03	10:30:00	2656.183	2656.518	2653.007	2655.246	1479	0	159
2025.01.03	10:45:00	2655.230	2657.976	2654.611	2657.617	1104	0	160
2025.01.03	11:00:00	2657.580	2658.760	2657.159	2657.849	1088	0	159
2025.01.03	11:15:00	2657.853	2659.258	2656.332	2656.885	1262	0	159
2025.01.03	11:30:00	2656.924	2658.422	2656.363	2658.259	1095	0	160
2025.01.03	11:45:00	2658.244	2658.656	2658.021	2658.361	62	0	160
2025.01.03	12:45:00	2657.003	2657.461	2655.209	2655.291	954	0	160
2025.01.03	13:00:00	2655.257	2656.298	2653.471	2655.438	2162	0	159
2025.01.03	13:15:00	2655.418	2656.394	2647.960	2649.526	3129	0	159
2025.01.03	13:30:00	2649.614	2651.222	2643.387	2645.670	3372	0	159
2025.01.03	13:45:00	2645.652	2651.489	2645.652	2649.834	2481	0	159
2025.01.03	14:00:00	2649.789	2650.328	2646.900	2647.321	2813	0	159
2025.01.03	14:15:00	2647.326	2649.475	2645.075	2649.196	2642	0	159
2025.01.03	14:30:00	2649.213	2652.672	2648.328	2650.710	3383	0	159
2025.01.03	14:45:00	2650.685	2650.685	2646.146	2647.827	3243	0	159
2025.01.03	15:00:00	2647.730	2648.285	2643.351	2645.802	4431	0	159
2025.01.03	15:15:00	2645.760	2646.156	2640.952	2642.340	4121	0	159
2025.01.03	15:30:00	2642.364	2646.196	2641.960	2645.077	2960	0	159
2025.01.03	15:45:00	2645.055	2645.831	2643.330	2643.842	2244	0	159
2025.01.03	16:00:00	2643.812	2647.264	2643.280	2643.549	2137	0	159
2025.01.03	16:15:00	2643.512	2643.512	2640.624	2641.294	2305	0	159
2025.01.03	16:30:00	2641.329	2643.550	2641.022	2642.305	2145	0	160
2025.01.03	16:45:00	2642.269	2642.269	2638.954	2639.968	1890	0	159
2025.01.03	17:00:00	2639.934	2642.617	2639.414	2641.391	1681	0	160
2025.01.03	17:15:00	2641.398	2642.363	2640.577	2641.778	1584	0	160
2025.01.03	17:30:00	2641.829	2642.163	2639.043	2640.872	1711	0	159
2025.01.03	17:45:00	2640.862	2642.293	2640.838	2641.763	1575	0	159
2025.01.03	18:00:00	2641.726	2642.222	2640.030	2640.328	1512	0	159
2025.01.03	18:15:00	2640.374	2641.261	2639.763	2641.241	1610	0	159
2025.01.03	18:30:00	2641.243	2642.361	2640.977	2641.462	1456	0	159
2025.01.03	18:45:00	2641.482	2642.079	2640.911	2641.827	1360	0	160
2025.01.03	19:00:00	2641.831	2642.951	2641.163	2641.976	1210	0	159
2025.01.03	19:15:00	2641.982	2642.210	2640.570	2641.317	991	0	159
2025.01.03	19:30:00	2641.295	2642.196	2640.897	2640.906	992	0	160
2025.01.03	19:45:00	2640.891	2641.319	2639.135	2639.424	1099	0	160
2025.01.03	20:00:00	2639.394	2640.094	2638.499	2639.271	1208	0	160
2025.01.03	20:15:00	2639.299	2639.687	2638.413	2639.250	969	0	159
2025.01.03	20:30:00	2639.241	2639.775	2637.196	2638.144	1131	0	159
2025.01.03	20:45:00	2638.179	2638.484	2636.881	2638.163	1251	0	160
2025.01.03	21:00:00	2638.196	2638.719	2637.227	2637.461	750	0	160
2025.01.03	21:15:00	2637.467	2637.734	2636.995	2637.619	594	0	160
2025.01.03	21:30:00	2637.608	2639.924	2636.644	2639.908	912	0	160
2025.01.03	21:45:00	2639.882	2640.740	2639.152	2640.370	1131	0	160
2025.01.05	23:00:00	2639.644	2641.086	2639.644	2641.007	608	0	160
2025.01.05	23:15:00	2641.012	2642.394	2640.775	2641.728	742	0	160
2025.01.05	23:30:00	2641.737	2642.249	2640.342	2642.013	772	0	160
2025.01.05	23:45:00	2642.058	2642.191	2640.514	2641.063	1123	0	160
2025.01.06	00:00:00	2641.098	2641.735	2638.958	2639.188	1126	0	160
2025.01.06	00:15:00	2639.208	2640.137	2638.604	2639.384	980	0	160
2025.01.06	00:30:00	2639.396	2639.931	2638.846	2639.149	901	0	160
2025.01.06	00:45:00	2639.124	2643.296	2638.874	2643.191	1317	0	160
2025.01.06	01:00:00	2643.223	2644.772	2640.748	2644.512	2670	0	159
2025.01.06	01:15:00	2644.566	2647.426	2644.520	2645.575	2080	0	159
2025.01.06	01:30:00	2645.511	2645.630	2642.727	2643.455	1778	0	159
2025.01.06	01:45:00	2643.451	2644.119	2641.209	2641.333	1694	0	159
2025.01.06	02:00:00	2641.292	2644.227	2639.726	2643.611	1954	0	159
2025.01.06	02:15:00	2643.612	2644.377	2641.959	2643.334	1185	0	160
2025.01.06	02:30:00	2643.426	2645.295	2642.904	2644.150	1473	0	159
2025.01.06	02:45:00	2644.153	2644.990	2643.379	2644.523	1357	0	159
2025.01.06	03:00:00	2644.493	2645.355	2643.410	2643.788	1532	0	159
2025.01.06	03:15:00	2643.770	2643.770	2640.744	2642.154	1416	0	160
2025.01.06	03:30:00	2642.131	2642.157	2639.971	2640.724	1108	0	159
2025.01.06	03:45:00	2640.725	2641.230	2639.137	2640.190	1062	0	159
2025.01.06	04:00:00	2640.203	2640.824	2637.068	2638.274	1031	0	160
2025.01.06	04:15:00	2638.298	2638.901	2634.992	2637.915	2078	0	159
2025.01.06	04:30:00	2637.889	2638.600	2636.054	2636.807	973	0	159
2025.01.06	04:45:00	2636.865	2637.302	2634.197	2635.534	1428	0	160
2025.01.06	05:00:00	2635.531	2636.240	2634.325	2634.866	1230	0	160
2025.01.06	05:15:00	2634.870	2635.803	2634.199	2634.261	1278	0	160
2025.01.06	05:30:00	2634.297	2635.001	2632.291	2632.920	2869	0	159
2025.01.06	05:45:00	2633.009	2634.225	2631.450	2633.892	1497	0	159
2025.01.06	06:00:00	2633.879	2635.346	2633.280	2634.334	1416	0	159
2025.01.06	06:15:00	2634.331	2635.130	2630.726	2631.461	1641	0	159
2025.01.06	06:30:00	2631.451	2632.108	2630.173	2631.689	1581	0	159
2025.01.06	06:45:00	2631.727	2632.475	2631.063	2631.460	1387	0	159
2025.01.06	07:00:00	2631.425	2633.634	2631.210	2632.051	1677	0	159
2025.01.06	07:15:00	2632.123	2632.162	2630.065	2630.993	1385	0	159
2025.01.06	07:30:00	2631.010	2631.176	2625.058	2625.767	2142	0	159
2025.01.06	07:45:00	2625.743	2627.740	2625.396	2626.902	1481	0	159
2025.01.06	08:00:00	2626.889	2628.194	2625.755	2628.114	1697	0	160
2025.01.06	08:15:00	2628.107	2630.044	2627.242	2629.768	1516	0	160
2025.01.06	08:30:00	2629.763	2630.697	2627.239	2627.893	1515	0	159
2025.01.06	08:45:00	2627.879	2632.547	2627.359	2631.506	1649	0	159
2025.01.06	09:00:00	2631.427	2635.074	2631.150	2634.852	2084	0	159
2025.01.06	09:15:00	2634.876	2635.724	2633.187	2633.312	1657	0	159
2025.01.06	09:30:00	2633.312	2634.574	2632.582	2633.644	1269	0	160
2025.01.06	09:45:00	2633.607	2633.750	2631.536	2632.699	1146	0	159
2025.01.06	10:00:00	2632.713	2633.345	2631.211	2631.341	1128	0	159
2025.01.06	10:15:00	2631.349	2633.444	2631.137	2632.562	1111	0	159
2025.01.06	10:30:00	2632.532	2633.039	2630.930	2632.963	1281	0	159
2025.01.06	10:45:00	2633.008	2635.052	2632.241	2633.825	1415	0	159
2025.01.06	11:00:00	2633.852	2637.148	2632.498	2636.302	2373	0	159
2025.01.06	11:15:00	2636.265	2645.288	2636.132	2644.852	4616	0	159
2025.01.06	11:30:00	2644.883	2649.409	2643.472	2648.812	4955	0	159
2025.01.06	11:45:00	2648.848	2649.489	2644.938	2645.600	2677	0	159
2025.01.06	12:00:00	2645.564	2647.048	2642.499	2643.917	2465	0	160
2025.01.06	12:15:00	2643.872	2645.450	2642.317	2642.424	2420	0	159
2025.01.06	12:30:00	2642.394	2646.749	2641.973	2644.739	2002	0	159
2025.01.06	12:45:00	2644.772	2647.861	2642.650	2645.395	2069	0	160
2025.01.06	13:00:00	2645.366	2648.848	2643.343	2646.030	3395	0	159
2025.01.06	13:15:00	2646.048	2646.344	2641.860	2642.353	4029	0	159
2025.01.06	13:30:00	2642.392	2642.547	2624.237	2624.759	8021	0	159
2025.01.06	13:45:00	2624.709	2627.300	2621.685	2624.254	6676	0	159
2025.01.06	14:00:00	2624.190	2629.963	2622.632	2626.904	5458	0	159
2025.01.06	14:15:00	2626.942	2628.590	2614.426	2625.639	9645	0	159
2025.01.06	14:30:00	2625.690	2628.598	2622.593	2624.155	6957	0	159
2025.01.06	14:45:00	2624.195	2635.030	2624.195	2631.588	5990	0	159
2025.01.06	15:00:00	2631.577	2635.449	2630.114	2631.511	4873	0	159
2025.01.06	15:15:00	2631.570	2639.641	2629.445	2639.030	4270	0	159
2025.01.06	15:30:00	2639.064	2639.532	2633.137	2635.181	4268	0	159
2025.01.06	15:45:00	2635.212	2636.741	2632.191	2634.392	3666	0	160
2025.01.06	16:00:00	2634.421	2637.421	2632.513	2636.835	2657	0	160
2025.01.06	16:15:00	2636.821	2638.860	2635.352	2638.502	2748	0	159
2025.01.06	16:30:00	2638.527	2640.985	2638.153	2640.250	2252	0	159
2025.01.06	16:45:00	2640.319	2641.381	2638.670	2640.729	1946	0	159
2025.01.06	17:00:00	2640.727	2641.053	2638.876	2639.434	1739	0	159
2025.01.06	17:15:00	2639.410	2640.100	2636.773	2637.353	1709	0	159
2025.01.06	17:30:00	2637.339	2637.502	2635.797	2636.109	1549	0	160
2025.01.06	17:45:00	2636.074	2636.927	2634.150	2636.641	1505	0	159
2025.01.06	18:00:00	2636.689	2637.471	2633.719	2635.427	1945	0	160
2025.01.06	18:15:00	2635.459	2638.599	2635.018	2636.249	1922	0	159
2025.01.06	18:30:00	2636.214	2636.971	2634.711	2636.144	1599	0	159
2025.01.06	18:45:00	2636.162	2636.587	2634.554	2634.619	1455	0	159
2025.01.06	19:00:00	2634.583	2634.796	2632.870	2633.934	1660	0	159
2025.01.06	19:15:00	2633.916	2634.975	2633.426	2634.508	1438	0	160
2025.01.06	19:30:00	2634.470	2635.171	2633.603	2635.122	1365	0	160
